isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
184.2935,0.782900537122337,0.5000988937258,7.21560088,0.00227164088,7.27085388e-07,0.00205152432,31.17170696,0.2556769208,0.00597760072,1.91161412e-06,0.0127825976,178.319256,5.96921712,0.00597760072,1.91161412e-06,0.0127825976,178.319256,5.96921712
182.624,0.87827161431757,0.779398568249322,12.5010445,0.004897389,0.0009700634,0.004109265,9.280344,0.9054749,0.012015198,0.0023665284,0.0297773528,132.549492,49.1880096,0.012015198,0.0023665284,0.0297773528,132.549492,49.1880096
194.8173,0.994699102712405,0.594094571291628,11.5126375,0.001178802,1.397093e-06,0.01344842,10.13041,0.470007,0.0023780846,2.8024082e-06,0.056077452,143.29374,51.481424,0.0023780846,2.8024082e-06,0.056077452,143.29374,51.481424
258.6376,0.829279769596574,0.630416650956602,13.521361,61.76081,46.9599,19.86906,1.62567200000001,0.04731805,82.361488,54.8778968,29.6680108,155.06034,0.0562577924,82.361488,54.8778968,29.6680108,155.06034,0.0562577924
212.8212,1.04446050479771,0.417934384298436,9.289985,0.005279257,0.03769319,8.598847e-07,0.002914768,26.99853,0.0346561288,0.290179212,7.75074596e-05,1.23400572,211.285104,0.0346561288,0.290179212,7.75074596e-05,1.23400572,211.285104
198.0259,0.735879341830516,0.513995478796501,7.490105,6.539769,0.2444087,13.33342,1.08129,31.43006,18.846942,0.536521496,60.3970128,16.7144744,105.944324,18.846942,0.536521496,60.3970128,16.7144744,105.944324
196.9427,0.940570222296266,0.702657853625326,13.015924404,0.01054117468,0.0688831296,0.0085845278,0.0787121404,14.480846,0.019073504,0.13546966,0.0528646212,52.3522452,145.128828,0.019073504,0.13546966,0.0528646212,52.3522452,145.128828
219.4138,0.873649854846703,0.764458824366318,14.653975,0.441222400000002,0.00344961600000001,3.32819700000002,6.29007800000003,0.00792117200000003,5.34306068,0.0417527244,128.805516,85.544884,0.0954891384,5.34306068,0.0417527244,128.805516,85.544884,0.0954891384
229.9713,0.823391440429421,0.724735287668024,13.7233265,0.4049829,15.71209,0.1136921,2.407978,0.233776,4.088758,83.0282616,2.03454168,28.5648244,110.9424184,4.088758,83.0282616,2.03454168,28.5648244,110.9424184
297.411,0.798458982789427,0.460777094957242,10.942096,0.003225089,0.01562428,0.000537721,23.1917,0.657806600000002,0.014148774,0.0733822184,0.0061155336,197.085076,100.2397144,0.014148774,0.0733822184,0.0061155336,197.085076,100.2397144
314.0385,0.975700166324123,0.247348320809782,7.578936,3.086622,0.01531958,117.7292,0.888740300000003,14.02253,4.3591114,0.020730044,222.750132,80.7593812,17.3265252,4.3591114,0.020730044,222.750132,80.7593812,17.3265252
189.1031,0.446558925904083,0.485631252534232,4.100946,0.1288558,0.002895801,8.053509e-05,0.5609778,52.00446,0.345590609,0.0077660113,0.000208789297,75.6268559,114.1834502,0.345590609,0.0077660113,0.000208789297,75.6268559,114.1834502
145.1749,0.896985271557809,0.308584498334798,4.01837953321,6.33351021,8.88482706e-06,0.153547611,1.46712503,10.67423813,16.8240976,2.35855392e-05,1.004247748,5.41816892,122.144624,16.8240976,2.35855392e-05,1.004247748,5.41816892,122.144624
243.3881,0.681629615926836,0.704682769727893,11.690725,0.002737343,1.106936,0.001591067,8.072105,0.3912711,0.0159608604,3.8555776,0.0624695252,220.150556,20.246856,0.0159608604,3.8555776,0.0624695252,220.150556,20.246856
188.4185,1.20148816722579,0.871767602887419,19.7353015,0.01088991,0.05430087,1.844312e-06,4.769011,0.0002360213,0.0569499548000001,0.271165848000001,2.96325612000001e-05,185.044736000001,0.00304914656000001,0.0569499548000001,0.271165848000001,2.96325612000001e-05,185.044736000001,0.00304914656000001
219.2959,0.653232493364158,0.608190335671255,8.7124,2.103051,2.064095,12.76697,11.09109,17.52104,1.90085088,1.89864808,12.6667212,101.0708888,101.8851952,1.90085088,1.89864808,12.6667212,101.0708888,101.8851952
275.3709,1.05603739606105,0.461611846865784,13.4237633607,0.602797664,3.4045632,21.81946384,0.506993226,0.002441746016,3.20651692,17.9041356,251.681672,2.56173756,0.031620116,3.20651692,17.9041356,251.681672,2.56173756,0.031620116
153.2118,0.910956467875343,0.816987591147144,11.402637,0.01163058,0.001580704,0.002734832,4.07344,1.992466,0.0399632056,0.00303561512,0.0228837508,146.545928,6.68451396,0.0399632056,0.00303561512,0.0228837508,146.545928,6.68451396
215.0724,0.484384842087402,0.295343980152523,3.07682892,35.512384,0.01622635,0.0020849618,0.0077313364,44.010126,56.3558896,0.0211058616,0.00846602608,29.87268384,132.925648,56.3558896,0.0211058616,0.00846602608,29.87268384,132.925648
181.0402,0.720439317874412,0.252222317879098,3.2896973088,0.001303424504,8.15529976e-08,0.0001320941784,50.8224188,7.05886704e-07,0.017195356,1.0723902e-06,0.03878774,175.93334,5.2666908,0.017195356,1.0723902e-06,0.03878774,175.93334,5.2666908
144.4738,0.846166837612881,0.408275119826356,4.99112,0.1221366,0.0192293,0.686769000000001,1.127497,17.75723,0.280689584,0.0441696924,2.5268716,3.65736736,137.981756,0.280689584,0.0441696924,2.5268716,3.65736736,137.981756
151.569,0.462787660556069,0.722177949973408,5.065664,0.280288,0.00323351800000001,24.9555300000001,0.00107720500000001,0.14804,0.88715062,0.01021132996,151.2192291,0.01808584735,0.323385065,0.88715062,0.01021132996,151.2192291,0.01808584735,0.323385065
144.059,0.547662615486479,0.709662752410928,5.598936,1.75871800000001,0.000832963700000002,2.19715100000001,0.179105600000002,0.000605018400000002,27.8496268,0.00659589396,104.335056,12.62340948,0.01036529308,27.8496268,0.00659589396,104.335056,12.62340948,0.01036529308
282.755,0.727904862926222,0.766809768491421,15.782382,0.0811759,0.2999876,0.6404974,18.68108,0.02000027,1.38756772,5.02839304,45.4635004,230.514196,0.768818776,1.38756772,5.02839304,45.4635004,230.514196,0.768818776
190.2574,0.73841894529923,0.684688574532679,9.619167096,0.02149707272,0.000915437978,0.0002116480654,28.29843568,4.96874862e-07,0.0646343472,0.00275437356,0.000690179172,189.52584,5.4652116e-06,0.0646343472,0.00275437356,0.000690179172,189.52584,5.4652116e-06
288.116,0.878120923079463,0.811116569383523,20.521305,0.0965388,0.07446274,1.278692,3.156017,9.893493,1.5283016,1.17564644,77.4712768,52.6315656,154.959064,1.5283016,1.17564644,77.4712768,52.6315656,154.959064
